,name,brand,price,url,image
118,Biomed Superwhite,Splat,3.80,https://www.notino.co.uk/splat/biomed-superwhite-reinforcing-toothpaste-with-coconut-oil/,https://cdn.notinoimg.com/list_2k//splat/2800015078357_01-o__220908.jpg
119,Ultra Clean,Parodontax,4.60,https://www.notino.co.uk/parodontax/ultra-clean-toothpaste-against-gum-bleeding-and-periodontal-disease/,https://cdn.notinoimg.com/list_2k//parodontax/5054563011251_01-o__160422.jpg
120,Sensitive Whitening,Ecodenta,4.10,https://www.notino.co.uk/ecodenta/expert-black-whitening-whitening-toothpaste-for-sensitive-teeth/,https://cdn.notinoimg.com/list_2k//ecodenta/4770001003206_01-o__210809.jpg
121,Natural White,Sensodyne,5.00,https://www.notino.co.uk/sensodyne/natural-white-natural-toothpaste-with-fluoride/,https://cdn.notinoimg.com/list_2k//sensodyne/5054563121226_01-o__220601.jpg
122,Pro Expert Advanced,Oral B,3.40,https://www.notino.co.uk/oral-b/pro-expert-advanced-toothpaste-against-tooth-decay/,https://cdn.notinoimg.com/list_2k//oral-b/8700216106702_01-o__230904.jpg
123,Natural Toothpaste White Fluoride,BEN&ANNA,6.40,https://www.notino.co.uk/benanna/natural-toothpaste-white-fluoride-whitening-toothpaste-with-fluoride/,https://cdn.notinoimg.com/list_2k//benanna/4260491220943_01.-o__221101.jpg
124,Caries Protection,Elmex,8.10,https://www.notino.co.uk/elmex/caries-protection-cosmetic-set-i/,https://cdn.notinoimg.com/list_2k//elmex/8714789994185_01-o__230109.jpg
125,Advanced Active Shield,Biorepair,4.70,https://www.notino.co.uk/biorepair/advanced-active-shield-toothpaste/,https://cdn.notinoimg.com/list_2k//biorepair/8017331064078_01-o__210205.jpg
126,Kids 2+,Curaprox,5.90,https://www.notino.co.uk/curaprox/kids-2-strawberry-toothpaste-for-children/,https://cdn.notinoimg.com/list_2k//curaprox/7612412429473_01-o__220225.jpg
127,Total Original,Colgate,2.50,https://www.notino.co.uk/colgate/total-original-toothpaste/,https://cdn.notinoimg.com/list_2k//colgate/8718951226715_01-o__230529.jpg
128,Professional Sensitive,Splat,4.30,https://www.notino.co.uk/splat/special-organic-sensitive-toothpaste/,https://cdn.notinoimg.com/list_2k//splat/7640168930257_01-o__231128.jpg
129,Lasting Freshness,Blend-a-med,1.70,https://www.notino.co.uk/blend-a-med/lasting-freshness-refreshing-toothpaste/,https://cdn.notinoimg.com/list_2k//blend-a-med/8006540391365_01-o__220816.jpg
130,Super +,Ecodenta,2.20,https://www.notino.co.uk/ecodenta/super-natural-toothpaste-for-kids/,https://cdn.notinoimg.com/list_2k//ecodenta/4770001334591_01__220606.jpg
131,Limited Edition Black is White,Curaprox,15.80,https://www.notino.co.uk/curaprox/limited-edition-black-is-white-travel-setfor-teeth-tongue-and-gums/,https://cdn.notinoimg.com/list_2k//curaprox/7612412430332_01__231211.jpg
132,Integral 8 Actions,Signal,2.00,https://www.notino.co.uk/signal/integral-8-toothpaste/,https://cdn.notinoimg.com/list_2k//signal/8720181117640_01-o__210611.jpg
133,Biomed Sensitive,Splat,3.70,https://www.notino.co.uk/splat/biomed-sensitive-bioactive-toothpaste-for-healthy-gums-and-teeth-sensitivity-reduction/,https://cdn.notinoimg.com/list_2k//splat/2800015078371_01-o__220908.jpg
134,Dental Care,Weleda,5.10,https://www.notino.co.uk/weleda/dental-care-toothpaste-to-treat-bleeding-gums/,https://cdn.notinoimg.com/list_2k//weleda/4001638098083_01-o__211012.jpg
